Bacteria Name,Type,Significance
Alcaligenes faecalis,Archaea,Increased in age-related gut inflammation
Peptostreptococcus anaerobius,Archaea,Metabolic health marker in aging populations
Pseudomonas fluorescens,Pathogen,Decreases with age; linked to diversity loss
Mycobacterium tuberculosis,Gram-positive bacterium,Gut microbiota; associated with aging
Acinetobacter baumannii,Gram-positive bacterium,Probiotic; beneficial for gut health
Actinobacteria bacterium,Gram-positive bacterium,Gut microbiota; associated with aging
Corynebacterium diphtheriae,Pathogen,Associated with gut homeostasis
Nitrosomonas europaea,Probiotic,Increased in age-related gut inflammation
Eubacterium rectale,Archaea,SCFA producer; reduced in aging
Rickettsia rickettsii,Gram-negative bacterium,Inflammation marker in aging gut
Bacteroides fragilis,Gram-negative bacterium,SCFA producer; reduced in aging
Rickettsia rickettsii,Gram-positive bacterium,Gut microbiota; associated with aging
Bacteroides vulgatus,Probiotic,Gut microbiota; associated with aging
